"Date","RPU","RPU exploitables","Hospitalisations","Mutations","Transferts","Taux hospitalisation"
2015-07-14,1495,1061,181,172,9,17.06
2015-07-15,1608,1141,256,231,25,22.44
2015-07-16,1382,1001,246,229,17,24.58
2015-07-17,1421,1030,264,249,15,25.63
2015-07-18,1587,1096,238,222,16,21.72
2015-07-19,1483,1002,167,148,19,16.67
2015-07-20,1540,1073,227,216,11,21.16
2015-07-21,1389,965,198,183,15,20.52
2015-07-22,1372,939,174,154,20,18.53
2015-07-23,1447,1052,234,217,17,22.24
2015-07-24,1392,944,217,204,13,22.99
2015-07-25,1369,977,197,187,10,20.16
2015-07-26,1358,965,191,177,14,19.79
2015-07-27,1428,1041,250,238,12,24.02
2015-07-28,1262,888,226,210,16,25.45
2015-07-29,1218,847,200,187,13,23.61
2015-07-30,1233,865,212,199,13,24.51
2015-07-31,1258,863,208,200,8,24.1
2015-08-01,1388,949,204,192,12,21.5
2015-08-02,1217,813,149,139,10,18.33
2015-08-03,1440,969,225,217,8,23.22
2015-08-04,1220,823,193,175,18,23.45
2015-08-05,1271,891,210,195,15,23.57
2015-08-06,1225,881,225,213,12,25.54
2015-08-07,1262,852,201,183,18,23.59
2015-08-08,1384,964,185,167,18,19.19
2015-08-09,1353,953,174,168,6,18.26
2015-08-10,1385,968,198,181,17,20.45
2015-08-11,1417,992,214,196,18,21.57
2015-08-12,1443,1014,226,206,20,22.29
2015-08-13,1316,921,209,196,13,22.69
2015-08-14,1244,885,200,187,13,22.6
2015-08-15,1347,898,158,147,11,17.59
2015-08-16,1253,899,185,167,18,20.58
2015-08-17,1352,959,236,220,16,24.61
2015-08-18,1267,852,201,187,14,23.59
2015-08-19,1186,820,209,197,12,25.49
2015-08-20,1215,847,221,201,20,26.09
2015-08-21,1271,879,227,208,19,25.82
2015-08-22,1322,915,195,176,19,21.31
2015-08-23,1256,874,184,176,8,21.05
2015-08-24,1256,883,207,195,12,23.44
2015-08-25,1227,822,226,206,20,27.49
2015-08-26,1308,906,202,184,18,22.3
2015-08-27,1295,919,212,194,18,23.07
2015-08-28,1274,937,226,213,13,24.12
2015-08-29,1428,971,214,202,12,22.04
2015-08-30,1541,1087,211,197,14,19.41
2015-08-31,1457,992,235,215,20,23.69
2015-09-01,1265,878,220,210,10,25.06
2015-09-02,1249,867,213,191,22,24.57
2015-09-03,1258,887,241,227,14,27.17
2015-09-04,1314,853,202,191,11,23.68
2015-09-05,1429,968,243,228,15,25.1
2015-09-06,1316,894,182,174,8,20.36
2015-09-07,1317,900,202,188,14,22.44
2015-09-08,1234,838,181,174,7,21.6
2015-09-09,1369,948,201,189,12,21.2
2015-09-10,1340,929,216,209,7,23.25
2015-09-11,1394,907,230,210,20,25.36
2015-09-12,1453,994,244,235,9,24.55
